"Ti prego, non cominciare","Por favor, não comece"
Sai che per me è già difficile credere a quanto mi facevi male,Você sabe que para mim já é difícil acreditar no quanto você me machucava
"Ma, se me l'avessi chiesto, avrei scalato l'Everest a mani nude","Mas, se você tivesse pedido, eu teria escalado o Everest com as mãos nuas"
"Anche se odio il freddo e soffro pure di vertigini, io me ne frego","Mesmo odiando o frio e sofrendo de vertigem, eu não me importava"
"Quando menti, io ti credo","Quando você mente, eu acredito em você"
So che sono più di mille quelle cose di me che non tolleravi,Sei que são mais de mil as coisas em mim que você não suportava
Parlare con te è come cercare di afferrare il vento con le mani,Falar com você é como tentar agarrar o vento com as mãos
"Se avevo un problema, mi dicevi di parlarne con chi se ne intende","Se eu tinha um problema, você dizia para eu falar com quem entende"
Guardavo cadere tutto a pezzi come fosse l'11 settembre,Eu via tudo desmoronar como se fosse 11 de setembro
"Dimmi ancora una bugia, poi una bugia, poi la verità","Me diga mais uma mentira, depois outra mentira, depois a verdade"
"Era tutto una follia, però una follia per te non si fa","Era tudo uma loucura, mas uma loucura por você não se faz"
"Non ero più a casa mia, neanche a casa mia, solo mille guai","Eu já não estava mais em casa, nem mesmo na minha casa, só mil problemas"
"Penso a Davide e Golia, io sarò Golia, tu mi ucciderai","Penso em Davi e Golias, eu serei Golias, você vai me derrotar"
"E te l'avrei lasciato fare, perché ero fuori di testa","E eu teria deixado você fazer isso, porque eu estava fora de mim"
"Dimmi, quando ci si perde, a cosa serve fare festa?","Me diga, quando a gente se perde, de que adianta fazer festa?"
"Fumo 'sti fiori del male, tutto quello che mi resta","Eu fumo essas flores do mal, é tudo o que me resta"
"Ora che mi sento inerme, come un verme in fondo al mezcal","Agora que me sinto indefeso, como um verme no fundo do mezcal"
"Scordati che mi conosci, ora è tardi anche se piangi","Esqueça que me conhece, agora é tarde mesmo que você chore"
"È inutile che mi angosci, mi mandi cento messaggi","É inútil você me angustiar, me mandar cem mensagens"
"A cui non risponderò, non ne sono più capace","Às quais não vou responder, não sou mais capaz disso"
Sono diventato tutto ciò che odiavo e ti assicuro non mi piace,Me tornei tudo o que eu odiava e te garanto que não gosto disso
"Dimmelo se te ne accorgi, siamo diventati grandi","Me diga se você percebe, nós crescemos"
"Anche se ho dieci orologi, non recupererò gli anni","Mesmo que eu tenha dez relógios, não vou recuperar os anos"
"Scusa se non tornerò, non sai quanto mi dispiace","Desculpa se eu não voltar, você não sabe o quanto me dói"
"Che abbiamo fatto la guerra, ma non sapevamo come fare pace","Que fizemos guerra, mas não sabíamos como fazer as pazes"
Triste quando ci pensavo,Fico triste quando pensava nisso
"Ci mancava tutto quanto, perfino la data di un anniversario","Faltava tudo para nós, até a data de um aniversário"
Scrivevano: È fidanzato solo perché finanziavo,Escreviam: Ele só namora porque eu financiava
Ti darei da bere il sangue perché è tutto ciò che adesso mi è rimasto,Eu te daria meu sangue para beber porque é tudo o que me restou agora
"Credimi, sembra impossibile accettare che oramai ti ho detto: Ciao","Acredite, parece impossível aceitar que agora eu te disse: Tchau"
Sto in un bilocale che da quando ti ho cacciata sembra una penthouse,"Estou em um apartamento pequeno que, desde que te expulsei, parece uma cobertura"
"Grande tipo il doppio, ma senza la luce, come ci fosse un blackout","Grande como o dobro, mas sem luz, como se fosse um apagão"
Non sono sentimentale,Eu não sou sentimental
Delle volte tu aprivi la porta e io nemmeno ti sentivo entrare,Às vezes você abria a porta e eu nem sentia você entrar
"Ti volevo a tutti i costi, ma eravamo opposti proprio come un polo","Eu te queria a todo custo, mas éramos opostos como polos"
Stare insieme è l'arte di risolvere i problemi che non ho da solo,Estar junto é a arte de resolver problemas que eu não tenho sozinho
"Giuro, non so più chi sono, tutto ciò mi dà fastidio","Juro, não sei mais quem sou, tudo isso me incomoda"
'Sto mondo a misura d'uomo mi fa sentire in castigo,Este mundo feito sob medida para o homem me faz sentir castigado
